TS --> 11_October_2019_18_23_44, Endpoint --> /result/fetchResult, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_18_24_12, Endpoint --> /result/fetchResult, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_18_24_12, Endpoint --> /result/fetchResult, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_18_24_24, Endpoint --> /result/fetchResult, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_18_24_24, Endpoint --> /result/fetchResult, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_18_25_45, Endpoint --> /user/login, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_18_25_46, Endpoint --> /user/login, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_18_25_46, Endpoint --> /exam/fetchAllExams, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_18_25_46, Endpoint --> /exam/fetchAllExams, Method --> GET, Host --> localhost:1234
TS --> 11_October_2019_18_25_47, Endpoint --> /result/fetchResult, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_18_25_47, Endpoint --> /result/fetchResult, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_18_25_48, Endpoint --> /question/fetchQuestions/CSS001, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_18_25_48, Endpoint --> /question/fetchQuestions/CSS001, Method --> GET, Host --> localhost:1234
TS --> 11_October_2019_18_28_55, Endpoint --> /result/fetchResult, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_18_28_55, Endpoint --> /result/fetchResult, Method --> POST, Host --> localhost:1234
TS --> 11_October_2019_18_28_55, Endpoint --> /question/fetchQuestions/CSS001, Method --> OPTIONS, Host --> localhost:1234
TS --> 11_October_2019_18_28_55, Endpoint --> /question/fetchQuestions/CSS001, Method --> GET, Host --> localhost:1234
TS --> 11_October_2019_18_29_3, Endpoint --> /result/fetchResult, Method --> OPTIONS, Host --> localhost:1234
